,x,y,0728_pred_0.5_16,0728_pred_0.5_17,0728_pred_0.5_18,0728_pred_0.5_19,0728_pred_0.5_20,0728_pred_1_16,0728_pred_1_17,0728_pred_1_18,0728_pred_1_19,0728_pred_1_20
cell_1276,-13372.8986720029,15776.3714753502,5,9,12,9,10,1,0,9,9,1
cell_691,-14882.8986720029,15896.3714753502,13,1,0,12,13,10,5,4,4,12
cell_396,-15492.8986720029,15835.3714753502,10,0,2,8,0,1,0,9,9,1
cell_68,-16185.8986720029,15768.3714753502,5,3,18,16,16,13,14,16,17,19
cell_6954,3130.10132799709,15792.3714753502,5,9,12,8,8,6,12,0,0,7
cell_7074,3530.10132799709,15780.3714753502,1,0,2,0,0,1,12,0,0,7
cell_9883,11500.1013279971,15783.3714753502,1,0,0,0,0,10,5,0,0,7
cell_2388,-10275.8986720029,15676.3714753502,5,3,18,4,4,13,14,16,17,19
cell_9642,10851.1013279971,15738.3714753502,1,8,8,0,9,0,0,0,0,8
cell_3710,-6295.89867200291,15730.3714753502,1,0,2,0,0,0,1,0,0,8
cell_844,-14399.8986720029,15615.3714753502,14,15,16,17,17,14,15,14,14,16
cell_2605,-9654.89867200291,15675.3714753502,5,3,18,3,3,13,14,16,17,19
cell_2904,-8800.89867200291,15678.3714753502,10,9,12,8,8,1,0,9,9,1
cell_1529,-12676.8986720029,15733.3714753502,11,8,8,8,5,2,2,1,10,0
cell_6061,610.10132799709,15622.3714753502,5,3,3,3,3,6,7,7,8,5
cell_10541,13069.1013279971,15715.3714753502,1,0,2,0,0,2,0,1,0,7
cell_4983,-2344.89867200291,15706.3714753502,1,0,2,0,0,1,0,11,10,7
cell_6442,1539.10132799709,15749.3714753502,5,0,2,0,0,6,12,7,8,5
cell_529,-15236.8986720029,15663.3714753502,15,16,15,16,16,13,14,16,17,19
cell_6673,2256.10132799709,15750.3714753502,5,0,12,0,0,1,12,7,8,5
cell_10487,12808.1013279971,15678.3714753502,1,0,2,0,0,1,0,0,0,7
cell_8619,8131.10132799709,15643.3714753502,11,8,8,8,5,1,0,11,10,3
cell_9403,10254.1013279971,15670.3714753502,4,7,7,15,6,9,11,12,18,9
cell_3595,-6730.89867200291,15695.3714753502,1,0,2,0,0,1,0,0,0,7
cell_6266,1121.10132799709,15701.3714753502,5,0,2,9,10,6,7,7,8,5
cell_6879,2894.10132799709,15684.3714753502,5,3,3,3,3,6,7,7,8,5
cell_6346,1337.10132799709,15672.3714753502,15,3,3,3,3,6,7,7,8,5
cell_6147,780.10132799709,15687.3714753502,5,3,3,3,3,6,7,7,8,5
cell_1634,-12454.8986720029,15584.3714753502,5,3,18,4,4,13,14,16,17,19
cell_5996,429.10132799709,15672.3714753502,5,0,2,8,10,6,12,0,0,7
